Gene name,RefSeq accession number
C1orf43,NM_015449
CHMP2A,NM_014453
EMC7,NM_020154
GPI,NM_000175
PSMB2,NM_002794
PSMB4,NM_002796
RAB7A,NM_004637
REEP5,NM_005669
SNRPD3,NM_004175
VCP,NM_007126
VPS29,NM_016226
