,CD164,,BTG1,SNRPB2,CASP8,STAB1,CCL4,DHX58,DHX9,FADD,CHUK,ANKRD30A,ARHGAP15,AQP8,APBB1IP,ARHGEF1,APLNR,AQP12A,ATP1A4,ATP8B4,ANXA2,ARHGAP9,AP3B2,ANO3,ANKMY2,BDNF-AS,ARL5C,ANAPC15,BAK1,ANXA11,AP3S2,ANGPT1,BAHD1,ATP6V1F,ARHGAP45,ASXL1,ATP1A1,ATP6V0E2,ARL4C,C1QTNF6,ADPRH,ANKRD55,ATG16L2,APPL2,AS3MT,ATP6V1C1,BAZ2B,ATM,ATP6V1E1,ARMC6,AEN,ANAPC1,ANKRD13A,AP4M1,BAG2,AP1AR,ARSB,ARSI,ANP32B,AGA,ALDOAP2,ASB6,ARPC5L,ALKBH7,ASPM,AKR1C3,ARHGAP19,APOBEC3G,AKAP1,ANGEL1,ALCAM,ANGEL1,ARF3,,IFNA10,IFNA5,DDX3X,GAB2,IRF9
,COL16A1,,C1S,TRAF6,CEBPD,STAM,CD44,GBP7,FLOT1,GIGYF2,CLEC12A,ANKRD37,ASXL1,ARHGAP9,AQP7,ARHGEF3,ARHGEF6,ARID1A,B3GALT1,ATXN1,ARHGAP18,ARPC1B,ASAP1,AOPEP,ANP32B,BFSP2-AS1,ASPM,ANKRD13D,BANP,ANXA2,ARFGAP2,APLNR,BDH1,B4GALNT4,ARRB2,ATF6B,ATP9B,B3GAT3,ATG4D,CACNG8,AMACR,ANXA1,ATXN7,AQP3,ASB2,ATPAF1,BEX3,ATP10A,ATP6V1G1,ASRGL1,AHI1,ANKRD44,AP1G2,ARF5,BCAP29,AP4M1,ATF5,ATOSA,APPBP2,AGO1,AP2M1,ATP1B1,ASB8,ANP32A,ASTE1,ALDH3A2,ARIH2,ARHGAP10,AKR1E2,ANKZF1,ANKRD27,ANKRD46,ARFGAP3,,IFNA13,IFNA6,DDX3Y,IFNAR1,JAK1
,CSRP3,,CALD1,,COL16A1,TOMM70,CFLAR,GPATCH3,G3BP1,GPR108,CUL3,ASPA,ATF7IP2,ASF1B,ASB14,ARL4C,ATF7IP2,ARPC4,B3GNT5,B3GNT2,ARHGAP20,ART5,ATP10D,APOA1,APOO,BNIPL,ASPRV1,ANKRD18A,BTN1A1,ARHGAP35,ARPC5L,APTX,C19orf48P,BFAR,ARRDC2,ATP6V1H,BAIAP3,B4GALT5,ATP6V0B,CASP1,AMER1,APLF,BAG3,ARHGAP31,ASRGL1,BARD1,BIK,B3GNT2,ATP8A1,ATG4B,AKAP13,APBB1IP,AP1M1,ARFGEF2,BCL2A1,APOL6,ATP10A,ATOX1,ARFGEF1,AHDC1,AP3B1,B3GNT5,ATXN10,AP2A1,ATP5F1A,ANTXR2,ATF6B,ARHGAP35,ANKRD16,ANP32B,ANXA5,AP2A2,ARID5B,,IFNA14,IFNA7,DHX58,IFNAR2,MAVS
,CYCS,,CASP8,,CSRP3,TP53,CHN1,HAVCR2,GAPDH,HDAC4,CYLD,ATF3,ATP10A,ATP13A3,ATF6B,ARRDC2,ATG10,ASS1,BTBD2,BCL10,ARHGAP4,ASB4,AVPR1B,AQP10,ARRDC4,BRDT,BMS1P1,APBB1IP,BTN2A3P,ATF7IP,ATP13A3,ART5,C2CD5,CACNG2,ATF3,B3GNT7,BCL3,BAHD1,B4GALNT4,CASS4,ANO10,ARHGAP18,BAIAP2,ARMCX2,ATOSA,BCS1L,BMAL1,BBS10,B4GALT6,ATP6V1G2,ANKRD17,APEH,AQR,ARHGEF39,BEND3,AQR,ATP5PB,B3GALNT1,ARHGEF4,ANKRD52,APBB2,B3GNT8,AUNIP,APBB1,ATXN10,ARF1,ATP10A,ARNT,ANKRD18B,AP1M1,APOBEC3G,APP,ARL6IP1,,IFNA16,IFNA8,FADD,IRF9,MYD88
,DDX17,,CD164,,CYCS,TP53I3,EIF2S3,IL10,GARIN5A,IFI27,DDX3X,ATP9A,ATXN7L1,ATP2A2,ATP12A,ARRDC3,ATP7A,ATP5MG,C19orf12,BCL2A1,ARHGAP9,B3GNT2,BAZ2B,ATF7IP2,ATP13A5,BTN3A1,BTRC,APEX2,BTN3A1,ATP6V0C,AURKA,ATP11B,CAMK1D,CASP3,ATF4,BDH1,BDH1,BARHL2,BATF2,CCR3,APPL2,ATP2A2,BTG2,ARRB1,ATP2A3,BLVRA,CCR4,BTBD10,BASP1,ATXN2,ARL5B,APLF,ARID1A,ARL2BP,BEND4,ARFGAP2,ATP6V0A1,BATF2,ARRB1,ARGLU1,ARB2A,BCO2,BBS10,AQP4,ATXN7L1,ARHGAP45,ATP1B3,ARPC5L,ANKRD26,ARMCX1,ARAP2,ARHGAP17,ATN1,,IFNA17,IFNAR1,IFIH1,IRS1,OAS1
,EIF2B1,,CEBPD,,EIF2B1,VCAM1,ELF3,ILRUN,HMGB1,IFIH1,DDX56,AURKA,BABAM2,ATP6V1F,B4GALT6,ATM,ATP8A2,ATP6V0C,C3orf70,BCLAF3,ARHGEF10,B3GNT7,BTLA,ATP1A1-AS1,ATRAID,BTN3A2,C1orf220,APOO,C15orf39,B3GALNT1,BOP1,ATP6V1H,CAMSAP2,CCDC150,BATF,BRWD1,BNIP2,BEND3,BBOX1,CD109,AQP3,ATP5F1B,CABYR,ATP5F1A,B3GNT2,CALHM6,CCT5,BTLA,BCL2L1,BCL7C,ATF4,ARHGAP11A,ASPH,ARL3,BRD2,ARFIP1,B3GAT3,BMP6,ARRDC4,ARHGAP21,ARL15,BET1L,BUB3,B3GNT8,BBS12,ARMCX3,B3GNT5,ASB6,AP1G2,ARRB1,ARF3,ARHGAP32,ATP2B4,,IFNA2,IFNAR2,IFNA1,IRS2,OAS2
,EPS15,,CSRP3,,ELK4,WASF1,FGF2,IRGM,HMGB2,IFIT1,DHX33,B3GNT4,BBS9,ATRAID,BBS9,ATP2B4,AVPR1A,BCL2L15,CA10,BDP1,ARHGEF18,BMAL2,CBLB,BDH2,AUP1,C12orf42,C2orf69,AQR,C19orf12,BCAP31,BRWD1,BAIAP2,CCDC117,CCND1,BAZ1B,C19orf48P,BRPF1,BHLHE41,BCL3,CD70,ARHGAP31,B4GALT5,CATSPERD,BACH2,BCAS3,CCDC69,CD2AP,BZW2,CABYR,BLM,ATG16L2,B3GLCT,BICRAL,ASPM,BTBD19,ATP5F1C,B4GALNT4,BTBD3,ATXN7L3B,ATP5F1D,ARSB,BIRC3,CCDC122,BCL2,BCL2L14,ATP13A3,B4GALT5,ASCL2,APOBEC4,BEX3,ARHGAP10,ARHGEF11,ATP6V1B2,,IFNA21,IFNB1,IFNA10,JAK1,OAS3
,FAS,,CTR9,,EPS15,,GBP1,ITCH,HSP90AA1,IFITM1,DHX36,BAX,BIVM,BRD9,BCL2L1,AUTS2,BCL6,BOK,CCR2,BHLHE40,ARID4B,BMP2,CCDC17,BDNF-AS,BLTP2,C21orf91,C6orf141,ASB1,C6orf132,BCO2,BUB3,BLNK,CCT4,CD180,BOLA1,C1orf131,C11orf86,BRDT,C12orf75,CD82,ARMCX2,BCO2,CCDC9,BCL2L12,BCL2L1,CD38,CD72,CCNO,CALM3,BLTP3B,ATXN7,BICRA,BID,ATP6V0D1,BTG3,ATP6V0E2,BBOX1,C19orf44,AURKB,AZI2,ART3,BMP1,CCDC34,BMP1,BRIP1,ATP6V1F,B9D2,ATG2A,ASAP1,BTF3,ARHGAP35,ARMCX1,ATXN1,,IFNA4,IFNE,IFNA13,LCK,RIGI
,GBP1,,CYCS,,FAS,,GCH1,KAT8,HSPD1,IFITM2,DHX58,BGLAP,BLM,BRF1,BSDC1,B3GALT4,BFAR,BRD3OS,CCS,BLTP1,ARRB1,BOP1,CCDC39,BEAN1,BMI1,CALHM6,CA14,ASMTL,CALHM4,BORCS6,BUD23,BRI3,CDC14B,CH25H,BORA,C2CD3,C11orf87,BRINP3,C16orf78,CDC20B,ASCC3,C1QTNF6,CCNL1,BIK,CARNS1,CD48,CD93,CCR3,CAPZB,BRI3BP,BAIAP2,BRAT1,BNIP3L,BLOC1S5,C4orf17,B3GLCT,BCAM,C6orf132,AVL9,B3GLCT,ART5,BPIFB3,CCDC88A,BMP5,BRMS1L,BBOX1,BCR,ATOSB,ATP11C,BZW2,ARHGDIA,ARRB1,BMPR1A,,IFNA5,IFNK,IFNA14,MAP2K3,STAT1
,GMPR,,DDX1,,FOSL1,,HMGB2,KLHL22,IFIH1,IFITM3,DHX9,BNIP3,BTRC,BTG2,BTBD2,BORCS6,BHLHE22,BTF3,CD1D,BTLA,ASAP1,BPIFC,CCR9,BNC1,BNIP3,CARD6,CALCB,ATP13A3-DT,CARD16,C4orf46,C11orf24,BST2,CDC42SE1,CITED1,BRCA2,C7orf57,C20orf96,BRWD1,C1QL3,CEP104,ATP6V1B1,CABP4,CCNL2,BMAL1,CD22,CD79B,CDCA5,CD5,CCL7,C18orf21,BCL2L1,C16orf54,BUB3,BLVRB,C5AR1,BAG3,BCL10,CA2,BAG4,BCOR,ASB1,BRDT,CCHCR1,BRME1,CA8,BCL2L1,BFAR,ATP10D,ATP6V0E2,C1orf162,ARHGEF12,ATG10,BPIFA4P,,IFNA6,IFNW1,IFNA16,MAP2K6,STAT2
