"","Patient10_2T","Patient1_2T","Patient2_2T","Patient3_5T","Patient4_3T","Patient5_3T","Patient6_4T","Patient7_2T","Patient8_1T","Patient9_1T","SRR17386548","SRR17386549","SRR17386550","SRR17386551","SRR17386552","SRR17386553","SRR17386554","SRR17386555","SRR17386556","SRR17386557","SRR17386558"
"ENSG00000225630",4.74292230024466,4.98682631409195,4.67256648310611,4.01626092565888,4.67557289777834,5.4659300694738,4.26928524457999,3.49135592240141,6.1058491492217,4.25888737982102,9.32347955113873,4.75046285963251,4.3918795184411,4.37098359798174,3.66837200301151,3.70091218320613,4.0907130772008,3.38009538801739,5.10863033406129,4.2815349431795,4.49261690647019
"ENSG00000248527",9.2028185567196,8.94341601395061,9.0888985574303,8.63251555812035,9.04492691986632,9.63485881071323,8.66140420988025,8.14120145983438,9.98684547814939,8.88161998839685,8.56744760589715,9.53007492185624,8.83418820159869,9.2643814710202,8.54238188516849,10.1753508768094,8.79497933995479,8.84385098950958,8.84975300702091,8.79603899479425,8.95162479810857
"ENSG00000228794",4.05718279036346,4.18049436423864,3.62435847097901,4.08271462095977,3.89849012296134,2.80607065938964,4.64441999872106,3.33176380481261,3.77163922567095,3.81179096488296,4.14944286892283,2.9768424807285,4.00119100601826,3.50492998630242,4.30819935484943,3.39153801403009,4.53645590515945,3.91952405565255,4.36790333176063,3.83226843037682,3.08584177810588
"ENSG00000188976",4.2814170745603,4.27066682222965,4.82875636025429,4.64344166517084,4.7312151204161,4.74119376591264,4.78904069432243,4.81613510363181,4.69032905766404,4.96675856969097,2.33160943255518,4.85305522984199,4.69980091536055,4.90965884555991,5.35241269335434,4.17501341518596,4.65503857279019,4.82342733976625,5.25270434037821,4.96448184044051,5.26347278861933
"ENSG00000187608",5.43702859636716,5.2145933373601,5.35056149325027,6.48197140426987,5.35905410365209,4.71511167542034,6.50214870069343,7.72364501597756,6.08573976259942,5.3987227403698,6.28565502034498,6.21488364890093,4.96537751555351,5.72504007910966,5.1431974700056,6.55123918759029,6.39103914325531,6.69951136832017,5.03506027156392,6.17800977686153,4.95014401406494
"ENSG00000131591",2.51389343504099,3.3831259839338,3.26045764443997,2.65442864363707,2.7466474902742,2.96955328636506,2.94566370758062,2.87288802708003,3.07887880603339,3.18716153042523,3.79090140044118,3.05847202824018,2.8275908744055,2.09621740103063,3.80608138865777,2.97601128531646,2.95355468181439,4.49625760291906,3.65965506499149,2.18929891431599,0.629797969759275
"ENSG00000078808",6.08352432976658,5.91421127967091,6.15195927337528,6.25559176295545,5.99321980618492,6.06039325245802,5.95722928432384,6.05886962306104,6.2128630705928,6.10798865646698,6.50145356446426,6.11254114230476,6.17030019026663,5.82431061899261,6.30864074703202,6.0212908493567,6.16037669865589,5.47550014508364,5.94260774097261,6.04620489948383,6.35019621038055
"ENSG00000176022",5.65952650914972,4.62147065143656,4.31844668012543,4.60477810890649,5.01452130474676,5.08605302121044,3.92405398544123,5.49504089608286,4.89700329573709,4.60106257705027,5.39526978787255,5.17411652785532,5.03497951675539,4.96500000050297,4.80139631117633,4.7320931829626,4.22345298455813,4.82373888893521,4.15384497746544,4.69706133195403,5.09684992262884
"ENSG00000160087",6.21823527763177,6.20717278980686,6.21347634749691,5.99371608478545,6.22053858919933,6.21483825498713,6.37782145997475,6.20724262565558,5.90554570093936,6.31215506758925,6.486724490436,6.12321736225509,6.13102967066881,6.33740342008461,5.98236882545436,6.2101532748287,5.84857355248265,6.17086517361206,6.29635548587096,6.23597595305724,6.25314941838517
"ENSG00000131584",4.22747000678709,4.11887186924929,4.24340929379693,3.98432415888866,4.17301949230206,3.76491308965081,3.89728577580011,4.21252654861668,4.31143326015519,3.5307258416045,3.56516296530391,4.58806973030456,4.82428299720207,3.4821043495723,4.89972796189894,2.62430252680774,4.5779026903074,5.35212062494238,2.22101957365213,4.39444944341019,4.03662487545427
