DER_IFN_ALPHA_RESPONSE_DN,DER_IFN_ALPHA_RESPONSE_UP,DER_IFN_BETA_RESPONSE_DN,DER_IFN_BETA_RESPONSE_UP,GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,GOBP_RESPONSE_TO_TYPE_I_INTERFERON,GOBP_TYPE_I_INTERFERON_PRODUCTION,ISHIKAWA_STING_SIGNALING,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,KEGG_MEDICUS_REFERENCE_TYPE_I_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,WP_INTERFERON_TYPE_I_SIGNALING,WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION
,LIPA,,HADHB,REL,PLCG2,IFNK,IRAK1,,POLR1C,,IL12B,RACK1,
,MAP3K10,,HIF1A,RELB,POLR3A,IFNW1,IRF1,,POLR1D,,IRF3,RAP1A,
,MX1,,HLA-A,RNF125,POLR3B,IKBKE,IRF3,,POLR3A,,IRF7,RAPGEF1,
,MX2,,HLA-C,RNF216,POLR3C,IRAK1,IRF5,,POLR3B,,ISG15,REL,
,NMI,,HLA-E,SIGLEC1,POLR3D,IRF3,IRF7,,POLR3C,,MAP3K1,RPS6,
,OAS1,,IFI16,SIRPA,POLR3F,IRF7,IRF8,,POLR3D,,MAP3K7,RPS6KA4,
,OAS2,,IFI30,TRAF3IP1,POLR3G,ISG15,IRGM,,POLR3F,,MAPK10,RPS6KA5,
,OASL,,IFI35,TRAIP,PQBP1,JAK1,ISG15,,POLR3G,,MAPK11,RPS6KB1,
,PDXK,,IFI44,TRIM27,PTPN11,LSM14A,ITCH,,POLR3GL,,MAPK12,RPTOR,
,PLOD2,,IFI6,TYROBP,PTPN22,MAVS,KAT8,,POLR3H,,MAPK13,SOCS1,
,PLSCR1,,IFIT1,UFD1,RAB2B,METTL3,KLHL22,,POLR3K,,MAPK14,SOCS3,
,PMAIP1,,IFIT2,XAF1,RIGI,MIR21,KPNA2,,PYCARD,,MAPK8,STAT1,
,PML,,IFIT3,YY1,RIOK3,MMP12,LILRA4,,RELA,,MAPK9,STAT2,
,POLR2B,,IFIT5,,RIPK2,MUL1,LILRB1,,RIGI,,MAVS,STAT3,
,PPP3CA,,IFITM1,,RNF135,MX1,MAVS,,RIPK1,,NFKB1,STAT4,
,PSMB10,,IL6,,SETD2,MYD88,MIR21,,RIPK3,,NFKBIA,STAT5A,
,PSMB8,,IQGAP1,,STAT1,NLRC5,MIR26B,,STING1,,NFKBIB,TYK2,
,PSMB9,,IRF1,,STING1,OAS1,MMP12,,TBK1,,NLRX1,VAV1,
,PSME1,,IRF2,,SYK,OAS2,MORC3,,TREX1,,OTUD5,ZAP70,
,RBBP4,,IRF9,,TANK,OAS3,MYD88,,ZBP1,,PIN1,,
,RHOC,,ISG15,,TBK1,OASL,NLRC3,,,,RELA,,
,SDCBP,,ITGA2,,TICAM1,PTPN1,NLRX1,,,,RIGI,,
,SEM1,,LIPA,,TICAM2,PTPN11,NMB,,,,RIPK1,,
,SKP1,,MAP1B,,TLR2,PTPN2,NMBR,,,,RNF125,,
,SMAD4,,MAP3K10,,TLR3,PTPN6,NMI,,,,SIKE1,,
,SP110,,MX1,,TLR4,RBM47,NPLOC4,,,,STING1,,
,SRP9,,MX2,,TLR7,RNF185,OAS1,,,,TANK,,
,SRSF2,,NAP1L1,,TLR8,SAMHD1,OAS2,,,,TBK1,,
,SSBP1,,NMI,,TLR9,SETD2,OAS3,,,,TBKBP1,,
,STAT1,,OAS1,,TOMM70,SHFL,OTUD5,,,,TKFC,,
,TAP1,,OAS2,,TRAF3,SHMT2,PLCG2,,,,TNF,,
,TEAD4,,OASL,,TRAF3IP3,SIN3A,POLA1,,,,TRADD,,
,TRIM14,,PARP1,,TRAF6,SMIM30,POLR3A,,,,TRAF2,,
,TRIM21,,PARP4,,TRIM15,SMPD1,POLR3B,,,,TRAF3,,
,TRIM22,,PDXK,,TRIM56,SP100,POLR3C,,,,TRAF6,,
,TRIM26,,PLAUR,,TRIM65,STAT1,POLR3D,,,,TRIM25,,
,VEGFC,,PLOD2,,UAP1,STAT2,POLR3F,,,,,,
,XRCC6,,PLSCR1,,USP22,STING1,POLR3G,,,,,,
,ZFP36L2,,PMAIP1,,XIAP,TANK,PPM1B,,,,,,
,,,PML,,ZBTB20,TBK1,PQBP1,,,,,,
,,,POLR2B,,ZC3HAV1,TBKBP1,PTPN11,,,,,,
,,,PPP3CA,,ZCCHC3,TRAF3,PTPN22,,,,,,
,,,PPP5C,,,TREX1,PTPRS,,,,,,
,,,PSMB10,,,TRIM41,PYCARD,,,,,,
,,,PSMB8,,,TRIM56,QKI,,,,,,
,,,PSMB9,,,TRIM6,RAB2B,,,,,,
,,,PSME1,,,TRIM65,RBX1,,,,,,
,,,PTPN11,,,TTLL12,REL,,,,,,
,,,RBBP4,,,TYK2,RELB,,,,,,
,,,RBMX,,,UBE2K,RIGI,,,,,,
,,,RHOC,,,USP18,RIOK3,,,,,,
,,,SEM1,,,USP27X,RIPK2,,,,,,
,,,SKP1,,,USP29,RNF125,,,,,,
,,,SMAD4,,,WNT5A,RNF135,,,,,,
,,,SP110,,,YTHDF2,RNF216,,,,,,
,,,SRP9,,,YTHDF3,RNF26,,,,,,
,,,SRSF2,,,ZBP1,SETD2,,,,,,
,,,SSBP1,,,,SIGLEC1,,,,,,
,,,STAT1,,,,SIRPA,,,,,,
,,,TAP1,,,,STAT1,,,,,,
,,,TEAD1,,,,STING1,,,,,,
,,,TRAPPC10,,,,SYK,,,,,,
,,,TRIM14,,,,TANK,,,,,,
,,,TRIM21,,,,TBK1,,,,,,
,,,TRIM22,,,,TICAM1,,,,,,
,,,TRIM26,,,,TICAM2,,,,,,
,,,XRCC6,,,,TIRAP,,,,,,
,,,ZFP36L2,,,,TLR2,,,,,,
,,,,,,,TLR3,,,,,,
,,,,,,,TLR4,,,,,,
,,,,,,,TLR7,,,,,,
,,,,,,,TLR8,,,,,,
,,,,,,,TLR9,,,,,,
,,,,,,,TOMM70,,,,,,
,,,,,,,TRAF3,,,,,,
,,,,,,,TRAF3IP1,,,,,,
,,,,,,,TRAF3IP3,,,,,,
,,,,,,,TRAF6,,,,,,
,,,,,,,TRAIP,,,,,,
,,,,,,,TREX1,,,,,,
,,,,,,,TRIM15,,,,,,
,,,,,,,TRIM21,,,,,,
,,,,,,,TRIM27,,,,,,
,,,,,,,TRIM38,,,,,,
,,,,,,,TRIM56,,,,,,
,,,,,,,TRIM65,,,,,,
,,,,,,,TYROBP,,,,,,
,,,,,,,UAP1,,,,,,
,,,,,,,UFD1,,,,,,
,,,,,,,USP22,,,,,,
,,,,,,,XAF1,,,,,,
,,,,,,,XIAP,,,,,,
,,,,,,,YY1,,,,,,
,,,,,,,ZBTB20,,,,,,
,,,,,,,ZC3HAV1,,,,,,
,,,,,,,ZCCHC3,,,,,,
