"x"
"IFI27"
"USP18"
"LY6E"
"IFI44L"
"ISG15"
"IFI44"
"NETO1"
"OAS1"
"RSAD2"
"IFIT1"
"OAS2"
"IFI6"
"IL4"
"LARGE1"
"OASL"
"MX1"
"TNFRSF13C"
"CPA3"
"DDX60"
"XAF1"
"CMPK2"
"AKAP12"
"OAS3"
"RTP4"
