!Sample_title,Sample Name,Run
6_C-267,GSM8380151,SRR29718005
5_20-377,GSM8380150,SRR29718006
4_20-269,GSM8380149,SRR29718007
3_19-178,GSM8380148,SRR29718008
2_19-42,GSM8380147,SRR29718009
1_19-14,GSM8380146,SRR29718010
5_20-384,GSM8380145,SRR29718011
4_20-316,GSM8380144,SRR29718012
3_19-177,GSM8380143,SRR29718013
2_19-139,GSM8380142,SRR29718014
1_18-42,GSM8380141,SRR29718015
5_20-385,GSM8380140,SRR29718016
4_19-13,GSM8380139,SRR29718017
3_18-20,GSM8380138,SRR29718018
2_16-35,GSM8380137,SRR29718019
1_15-86,GSM8380136,SRR29718020
6_C-621,GSM8380135,SRR29718021
5_C-350,GSM8380134,SRR29718022
4_19-211,GSM8380133,SRR29718023
3_16-47,GSM8380132,SRR29718024
2_15-92,GSM8380131,SRR29718025
1_14-81,GSM8380130,SRR29718026
4_19-203,GSM8380129,SRR29718027
3_19-154,GSM8380128,SRR29718028
2_19-73,GSM8380127,SRR29718029
1_19-07,GSM8380126,SRR29718030
3_C-598,GSM8380125,SRR29718031
2_C-113,GSM8380124,SRR29718032
1_19-180,GSM8380123,SRR29718033
4_pt-s96,GSM8380122,SRR29718034
3_pt-s91,GSM8380121,SRR29718035
2_C-227,GSM8380120,SRR29718036
1_C-106,GSM8380119,SRR29718037
6_19-158,GSM8380118,SRR29718038
5_16-43,GSM8380117,SRR29718039
4_15-71,GSM8380116,SRR29718040
3_15-58,GSM8380115,SRR29718041
2_15-32,GSM8380114,SRR29718042
1_15-11,GSM8380113,SRR29718043
4_C-593,GSM8380112,SRR29718044
3_C-358,GSM8380111,SRR29718045
2_C-291,GSM8380110,SRR29718046
1_C-153,GSM8380109,SRR29718047
4_C-478,GSM8380108,SRR29718048
3_C-315,GSM8380107,SRR29718049
2_C-229,GSM8380106,SRR29718050
1_C-115,GSM8380105,SRR29718051
