"10","11","1285","2268","3371"
"MSI2","ELAC2",NA,NA,NA
"DYNLL2","ZNF287",NA,NA,NA
"SMG8","LGALS9",NA,NA,NA
"BCAS3","ERAL1",NA,NA,NA
"TLK2","NF1",NA,NA,NA
"CYB561","EVI2B",NA,NA,NA
"DCAF7","EVI2A",NA,NA,NA
"CD79B","SLFN12",NA,NA,NA
"ICAM2","SLFN12L",NA,NA,NA
"MILR1","CCL5",NA,NA,NA
"SLC16A6","AATF",NA,NA,NA
"RPL38","RPL23",NA,NA,NA
"RAB37","CDK12",NA,NA,NA
"NT5C","WIPF2",NA,NA,NA
"MRPS7","RARA",NA,NA,NA
"TMEM94","KPNB1",NA,NA,NA
"LLGL2","SCRN2",NA,NA,NA
"EXOC7","CBX1",NA,NA,NA
"RHBDF2","PHB1",NA,NA,NA
"CYTH1","RSAD1",NA,NA,NA
"TIMP2","SPAG9",NA,NA,NA
"SGSH","COX11",NA,NA,NA
"OXLD1","TRIM25",NA,NA,NA
"P4HB","MSI2",NA,NA,NA
"ARHGDIA","DYNLL2",NA,NA,NA
"FN3KRP","SMG8",NA,NA,NA
"TBCD","TLK2",NA,NA,NA
"TGIF1","CYB561",NA,NA,NA
"MPPE1","DCAF7",NA,NA,NA
"MIB1","ICAM2",NA,NA,NA
"ZNF397","MILR1",NA,NA,NA
"ATP5F1A","DDX5",NA,NA,NA
"CXXC1","SLC16A6",NA,NA,NA
"MBD2","RPL38",NA,NA,NA
"ZCCHC2","RAB37",NA,NA,NA
"CNDP2","NT5C",NA,NA,NA
"TSHZ1","MRPS7",NA,NA,NA
"NFATC1","TMEM94",NA,NA,NA
"GZMM","LLGL2",NA,NA,NA
"MED16","EXOC7",NA,NA,NA
"ARID3A","UBALD2",NA,NA,NA
"TMEM259","RHBDF2",NA,NA,NA
"ABCA7","CYTH1",NA,NA,NA
"ARHGAP45","TIMP2",NA,NA,NA
"SPPL2B","SGSH",NA,NA,NA
"LMNB2","OXLD1",NA,NA,NA
"SGTA","P4HB",NA,NA,NA
"THOP1","ARHGDIA",NA,NA,NA
"S1PR4","MAFG",NA,NA,NA
"NFIC","SLC16A3",NA,NA,NA
"CACTIN","FN3KRP",NA,NA,NA
"MATK","TBCD",NA,NA,NA
"ZBTB7A","TGIF1",NA,NA,NA
"DUS3L","MPPE1",NA,NA,NA
"DENND1C","MIB1",NA,NA,NA
"TNFSF14","ZNF397",NA,NA,NA
"GPR108","ELP2",NA,NA,NA
"ARHGEF18","ATP5F1A",NA,NA,NA
"FCER2","CXXC1",NA,NA,NA
"ZNF558","MBD2",NA,NA,NA
"EIF3G","ZCCHC2",NA,NA,NA
"S1PR5","CNDP2",NA,NA,NA
"ATG4D","TSHZ1",NA,NA,NA
"KRI1","GZMM",NA,NA,NA
"SLC44A2","MED16",NA,NA,NA
"QTRT1","ARID3A",NA,NA,NA
"ACP5","TMEM259",NA,NA,NA
"JUNB","ABCA7",NA,NA,NA
"PRDX2","ARHGAP45",NA,NA,NA
"GCDH","SPPL2B",NA,NA,NA
"TRMT1","LMNB2",NA,NA,NA
"RFX1","SGTA",NA,NA,NA
"ADGRE5","THOP1",NA,NA,NA
"DNAJB1","NFIC",NA,NA,NA
"RASAL3","CACTIN",NA,NA,NA
"RPL18A","MATK",NA,NA,NA
"MAST3","ZBTB7A",NA,NA,NA
"PGPEP1","TICAM1",NA,NA,NA
"SSBP4","DUS3L",NA,NA,NA
"ARMC6","DENND1C",NA,NA,NA
"NDUFA13","ARHGEF18",NA,NA,NA
"PBX4","FCER2",NA,NA,NA
"ZNF14","ZNF558",NA,NA,NA
"LSM14A","S1PR5",NA,NA,NA
"CD22","ATG4D",NA,NA,NA
"HCST","SLC44A2",NA,NA,NA
"TYROBP","QTRT1",NA,NA,NA
"FAM98C","ACP5",NA,NA,NA
"ACTN4","PRDX2",NA,NA,NA
"SIRT2","GCDH",NA,NA,NA
"AKT2","TRMT1",NA,NA,NA
"DMAC2","RFX1",NA,NA,NA
"ARHGEF1","ADGRE5",NA,NA,NA
"ERF","RASAL3",NA,NA,NA
"PPP5C","RPL18A",NA,NA,NA
"ZC3H4","MAST3",NA,NA,NA
"SAE1","PGPEP1",NA,NA,NA
"LIG1","SSBP4",NA,NA,NA
"KDELR1","HOMER3",NA,NA,NA
"GRWD1","ARMC6",NA,NA,NA
"RPL18","NDUFA13",NA,NA,NA
"RUVBL2","PBX4",NA,NA,NA
"ATF5","ZNF14",NA,NA,NA
"POLD1","LSM14A",NA,NA,NA
"PPP2R1A","CD22",NA,NA,NA
"RPS9","HCST",NA,NA,NA
"LILRB1","TYROBP",NA,NA,NA
"ZSCAN18","KCNK6",NA,NA,NA
"MRPS26","FAM98C",NA,NA,NA
"CENPB","ACTN4",NA,NA,NA
"CD93","SIRT2",NA,NA,NA
"ENTPD6","NFKBIB",NA,NA,NA
"CEP250","AKT2",NA,NA,NA
"TGIF2","DMAC2",NA,NA,NA
"BLCAP","ARHGEF1",NA,NA,NA
"RPRD1B","GSK3A",NA,NA,NA
"PPP1R16B","ERF",NA,NA,NA
"PLCG1","VASP",NA,NA,NA
"PCIF1","PPP5C",NA,NA,NA
"B4GALT5","ARHGAP35",NA,NA,NA
"PTPN1","ZC3H4",NA,NA,NA
"MTG2","SAE1",NA,NA,NA
"PPDPF","BBC3",NA,NA,NA
"APP","LIG1",NA,NA,NA
"SYNJ1","KDELR1",NA,NA,NA
"IFNAR2","GRWD1",NA,NA,NA
"DYRK1A","RPL18",NA,NA,NA
"UBASH3A","RUVBL2",NA,NA,NA
"RRP1B","ATF5",NA,NA,NA
"IL17RA","POLD1",NA,NA,NA
"TANGO2","PPP2R1A",NA,NA,NA
"TRMT2A","MYADM",NA,NA,NA
"HPS4","RPS9",NA,NA,NA
"MIAT","ZNF787",NA,NA,NA
"XBP1","ZSCAN18",NA,NA,NA
"ZMAT5","MRPS26",NA,NA,NA
"TBC1D10A","CENPB",NA,NA,NA
"PIK3IP1","RRBP1",NA,NA,NA
"SFI1","CD93",NA,NA,NA
"HMGXB4","ENTPD6",NA,NA,NA
"MCM5","CEP250",NA,NA,NA
"IL2RB","RPRD1B",NA,NA,NA
"ANKRD54","PPP1R16B",NA,NA,NA
"EIF3L","PLCG1",NA,NA,NA
"PICK1","PCIF1",NA,NA,NA
"DDX17","B4GALT5",NA,NA,NA
"SUN2","PTPN1",NA,NA,NA
"CBX6","MTG2",NA,NA,NA
"RPL3","PPDPF",NA,NA,NA
"TNRC6B","APP",NA,NA,NA
"ST13","SYNJ1",NA,NA,NA
"POLR3H","DYRK1A",NA,NA,NA
"XRCC6","RRP1B",NA,NA,NA
"SAMM50","AGPAT3",NA,NA,NA
"PRR5","IL17RA",NA,NA,NA
"KIAA0930","TANGO2",NA,NA,NA
"TTC38","TRMT2A",NA,NA,NA
"TUBGCP6","HPS4",NA,NA,NA
"ASMTL","MIAT",NA,NA,NA
"P2RY8","XBP1",NA,NA,NA
"TLR7","ZMAT5",NA,NA,NA
"TLR8","TBC1D10A",NA,NA,NA
"PHKA2","SFI1",NA,NA,NA
"CYBB","HMGXB4",NA,NA,NA
"DDX3X","MCM5",NA,NA,NA
"USP11","IL2RB",NA,NA,NA
"ARAF","ANKRD54",NA,NA,NA
"OTUD5","EIF3L",NA,NA,NA
"MAGED1","DDX17",NA,NA,NA
"TSPYL2","SUN2",NA,NA,NA
"LINC01278","CBX6",NA,NA,NA
"PJA1","RPL3",NA,NA,NA
"NLGN3","TNRC6B",NA,NA,NA
"DIAPH2","SLC25A17",NA,NA,NA
"RPL39","ST13",NA,NA,NA
"NKAP","EP300",NA,NA,NA
"SASH3","POLR3H",NA,NA,NA
"RBMX2","XRCC6",NA,NA,NA
"MMGT1","SAMM50",NA,NA,NA
"FUNDC2","PRR5",NA,NA,NA
NA,"KIAA0930",NA,NA,NA
NA,"TTC38",NA,NA,NA
NA,"TUBGCP6",NA,NA,NA
NA,"ASMTL",NA,NA,NA
NA,"P2RY8",NA,NA,NA
NA,"TLR7",NA,NA,NA
NA,"TLR8",NA,NA,NA
NA,"PHKA2",NA,NA,NA
NA,"CYBB",NA,NA,NA
NA,"DDX3X",NA,NA,NA
NA,"USP11",NA,NA,NA
NA,"ARAF",NA,NA,NA
NA,"OTUD5",NA,NA,NA
NA,"MAGED1",NA,NA,NA
NA,"TSPYL2",NA,NA,NA
NA,"SPIN3",NA,NA,NA
NA,"LINC01278",NA,NA,NA
NA,"NLGN3",NA,NA,NA
NA,"DIAPH2",NA,NA,NA
NA,"TRMT2B",NA,NA,NA
NA,"RPL39",NA,NA,NA
NA,"NKAP",NA,NA,NA
NA,"SASH3",NA,NA,NA
NA,"RBMX2",NA,NA,NA
NA,"MMGT1",NA,NA,NA
NA,"FUNDC2",NA,NA,NA
