"10","11","1285","2268","3371"
"CTSS","CDC42SE1","FTH1","M6PR","TAPBPL"
"CDC42SE1","PI4KB","EHD1","KLRB1","ATN1"
"PI4KB","MRPL9","CTSW","KLRF1","GOLT1B"
"MRPL9","S100A6","SYTL2","KLRD1","SLC38A2"
"S100A6","S100A4","GOLT1B","GOLT1B","RARG"
"S100A4","ILF2","IRAG2","SLC38A2","CMKLR1"
"ILF2","JTB","ETFRF1","SHMT2","SSH1"
"JTB","RPS27","SLC38A2","MTERF2","P2RX7"
"RPS27","HAX1","CS","NAA16","SETD1B"
"HAX1","IL6R","SHMT2","RGCC","POLE"
"IL6R","DPM3","MTERF2","SLC25A30","CRYL1"
"PBXIP1","FDPS","SSH1","LCP1","NAA16"
"SHC1","ASH1L","DHX37","TEP1","RGCC"
"DPM3","MSTO1","MICU2","PNP","LCP1"
"FDPS","ISG20L2","PAN3","RAB2B","FNDC3A"
"ASH1L","HDGF","RCBTB1","NEDD8","PNP"
"MSTO1","FCRL2","PNP","GZMB","RAB2B"
"ISG20L2","FCRL1","RAB2B","COQ6","TOGARAM1"
"FCRL2","AIM2","GMFB","PPP2R5C","BAHD1"
"FCRL1","PEA15","CGRRF1","SNAPC5","LYSMD2"
"AIM2","PEX19","ATP10A","MPI","ADAM10"
"FCER1A","CD84","LYSMD2","TLNRD1","PTPN9"
"PEA15","USP21","SCAMP2","CLCN7","TLNRD1"
"PEX19","PPOX","MAN2C1","NSMCE1","HAPSTR1"
"CD84","FCGR2B","AKAP13","IL4R","SNX29"
"USP21","FCRLA","CAPN15","NUP93","MARF1"
"PPOX","UAP1","CRAMP1","WWOX","PRR14"
"FCGR2B","RCSD1","NSMCE1","ULK2","NUP93"
"FCRLA","SELL","CNEP1R1","USP22","SETD6"
"UAP1","SCYL3","TANGO6","NLK","WWOX"
"RCSD1","KIFAP3","SNAI3","RPL23A","MIS12"
"SCYL3","PIGC","TCF25","GOSR1","CCL4"
"KIFAP3","SUCO","MPRIP","CCL4","AATF"
"SUCO","GAS5","TOM1L2","AATF","JUP"
"GAS5","TOR3A","DRG2","ATP6V0A1","EFTUD2"
"TOR3A","TOR1AIP2","BLTP2","DCAKD","DCAKD"
"TOR1AIP2","XPR1","AATF","TBX21","MRPL10"
"NIBAN1","NIBAN1","DCAKD","MRPL10","NME1"
"ODR4","ODR4","TBX21","SKAP1","RAD51C"
"DDX59","DDX59","SCRN2","NME1","SMG8"
"CAMSAP2","CAMSAP2","TSPOAP1","SOCS3","YPEL2"
"PPP1R12B","PPP1R12B","RAD51C","FASN","PPM1D"
"KLHL12","KLHL12","KPNA2","RNF125","POLG2"
"MDM4","MDM4","GGA3","TMEM259","SOCS3"
"ELK4","NUCKS1","SRSF2","ADGRE1","ARHGDIA"
"NUCKS1","IKBKE","GPS1","S1PR5","RNF125"
"IKBKE","MAPKAPK2","CD7","JUNB","HAUS1"
"MAPKAPK2","FCMR","REXO1","LYL1","TMEM259"
"FCMR","TRAF3IP3","S1PR5","MRI1","TICAM1"
"RRP15","RRP15","MRI1","IL12RB1","JUNB"
"CAPN2","CAPN2","RFX1","IFI30","LYL1"
"ITPKB","DEGS1","PKN1","URI1","IL12RB1"
"GUK1","ITPKB","IL12RB1","ZFP36","HNRNPUL1"
"RHOU","RHOU","PGPEP1","AKT2","RELB"
"CCSAP","CCSAP","GATAD2A","HNRNPUL1","SAE1"
"TAF5L","TAF5L","PLEKHF1","KDELR1","CCDC9"
"TSNAX","IRF2BP2","GRAMD1A","GYS1","KDELR1"
"IRF2BP2","ARID4B","HCST","NKG7","DBP"
"ARID4B","ZBTB18","ACTN4","ZNF577","GYS1"
