"10","11","1285","2268","3371"
"ZFAND2A","RPS12",NA,NA,NA
"LFNG","MAP3K5",NA,NA,NA
"BRAT1","PHACTR2",NA,NA,NA
"IQCE","LTV1",NA,NA,NA
"CARD11","UTRN",NA,NA,NA
"PMS2","STXBP5",NA,NA,NA
"CDCA7L","PPIL4",NA,NA,NA
"TRA2A","GINM1",NA,NA,NA
"CYCS","SYNJ2",NA,NA,NA
"SKAP2","GTF2H5",NA,NA,NA
"CREB5","EZR",NA,NA,NA
"ZNRF2","TCP1",NA,NA,NA
"RP9","QKI",NA,NA,NA
"BBS9","CEP43",NA,NA,NA
"GPR141","DNAAF5",NA,NA,NA
"MRPL32","SUN1",NA,NA,NA
"DBNL","ZFAND2A",NA,NA,NA
"POLD2","LFNG",NA,NA,NA
"NUDCD3","BRAT1",NA,NA,NA
"DDX56","IQCE",NA,NA,NA
"OGDH","CARD11",NA,NA,NA
"PURB","FOXK1",NA,NA,NA
"TBRG4","TNRC18",NA,NA,NA
"LINC03006","PMS2",NA,NA,NA
"RABGEF1P1","CDCA7L",NA,NA,NA
"TMEM248","TRA2A",NA,NA,NA
"BAZ1B","CREB5",NA,NA,NA
"BCL7B","ZNRF2",NA,NA,NA
"GTF2I","RP9",NA,NA,NA
"HIP1","BBS9",NA,NA,NA
"POR","GPR141",NA,NA,NA
"FGL2","MRPL32",NA,NA,NA
"DBF4","DBNL",NA,NA,NA
"SRI","POLD2",NA,NA,NA
"KRIT1","NUDCD3",NA,NA,NA
"BRI3","DDX56",NA,NA,NA
"PDAP1","PURB",NA,NA,NA
"ZSCAN25","TBRG4",NA,NA,NA
"MCM7","LINC03006",NA,NA,NA
"TAF6","LINC00174",NA,NA,NA
"LRCH4","RABGEF1P1",NA,NA,NA
"GIGYF1","TMEM248",NA,NA,NA
"FIS1","BAZ1B",NA,NA,NA
"LRWD1","BCL7B",NA,NA,NA
"KMT2E","LIMK1",NA,NA,NA
"RINT1","HIP1",NA,NA,NA
"TFEC","POR",NA,NA,NA
"ARF5","FGL2",NA,NA,NA
"SND1","SRI",NA,NA,NA
"METTL2B","KRIT1",NA,NA,NA
"AHCYL2","BRI3",NA,NA,NA
"ZC3HC1","PDAP1",NA,NA,NA
"KLHDC10","ZNF655",NA,NA,NA
"AKR1B1","ZSCAN25",NA,NA,NA
"NUP205","MCM7",NA,NA,NA
"MTPN","TAF6",NA,NA,NA
"KDM7A","LRCH4",NA,NA,NA
"EZH2","GIGYF1",NA,NA,NA
"PDIA4","FIS1",NA,NA,NA
"ZNF862","CUX1",NA,NA,NA
"ATP6V0E2","LRWD1",NA,NA,NA
"REPIN1","DNAJC2",NA,NA,NA
"TMEM176B","KMT2E",NA,NA,NA
"TMEM176A","RINT1",NA,NA,NA
"ABCB8","ATXN7L1",NA,NA,NA
"CHPF2","DNAJB9",NA,NA,NA
"PRKAG2","TFEC",NA,NA,NA
"NOM1","ARF5",NA,NA,NA
"MFHAS1","METTL2B",NA,NA,NA
"TNKS","AHCYL2",NA,NA,NA
"MTMR9","ZC3HC1",NA,NA,NA
"CSGALNACT1","KLHDC10",NA,NA,NA
"FHIP2B","TMEM209",NA,NA,NA
"PPP3CC","AKR1B1",NA,NA,NA
"CCAR2","NUP205",NA,NA,NA
"TNFRSF10B","MTPN",NA,NA,NA
"TNFRSF10D","KDM7A",NA,NA,NA
"CHMP7","CUL1",NA,NA,NA
"SLC25A37","EZH2",NA,NA,NA
"DOCK5","PDIA4",NA,NA,NA
"PPP2R2A","ZNF862",NA,NA,NA
"EPHX2","ATP6V0E2",NA,NA,NA
"EXTL3","GIMAP2",NA,NA,NA
"INTS9","ABCB8",NA,NA,NA
"SARAF","AGAP3",NA,NA,NA
"PLPBP","CHPF2",NA,NA,NA
"RAB11FIP1","PRKAG2",NA,NA,NA
"TACC1","NOM1",NA,NA,NA
"PLEKHA2","ERICH1",NA,NA,NA
"KAT6A","MFHAS1",NA,NA,NA
"SPIDR","ERI1",NA,NA,NA
"RB1CC1","TNKS",NA,NA,NA
"MRPL15","MTMR9",NA,NA,NA
"TGS1","CSGALNACT1",NA,NA,NA
"RPS20","FHIP2B",NA,NA,NA
"RAB2A","PPP3CC",NA,NA,NA
"TPD52","CCAR2",NA,NA,NA
"RIPK2","TNFRSF10B",NA,NA,NA
"DECR1","TNFRSF10D",NA,NA,NA
"VIRMA","CHMP7",NA,NA,NA
"TP53INP1","SLC25A37",NA,NA,NA
"MTDH","PPP2R2A",NA,NA,NA
"YWHAZ","EPHX2",NA,NA,NA
"ZNF706","EXTL3",NA,NA,NA
"EIF3E","INTS9",NA,NA,NA
"TRPS1","KIF13B",NA,NA,NA
"RAD21","SARAF",NA,NA,NA
"SNTB1","LEPROTL1",NA,NA,NA
"ZHX2","MAK16",NA,NA,NA
"FAM91A1","PLPBP",NA,NA,NA
"TMEM65","RAB11FIP1",NA,NA,NA
"ASAP1","TACC1",NA,NA,NA
"PHF20L1","PLEKHA2",NA,NA,NA
"AGO2","KAT6A",NA,NA,NA
"THEM6","FNTA",NA,NA,NA
"LY6E","SPIDR",NA,NA,NA
"GSDMD","PRKDC",NA,NA,NA
"EEF1D","RB1CC1",NA,NA,NA
"SHARPIN","MRPL15",NA,NA,NA
"HGH1","RPS20",NA,NA,NA
"BOP1","RAB2A",NA,NA,NA
"FBXL6","COPS5",NA,NA,NA
"ADCK5","PEX2",NA,NA,NA
"ZFTRAF1","TPD52",NA,NA,NA
"ZNG1A","ZFAND1",NA,NA,NA
"JAK2","VIRMA",NA,NA,NA
"RRAGA","TP53INP1",NA,NA,NA
"APTX","MTDH",NA,NA,NA
"UBAP2","YWHAZ",NA,NA,NA
"STOML2","ZNF706",NA,NA,NA
"CD72","EIF3E",NA,NA,NA
"CREB3","TRPS1",NA,NA,NA
"RNF38","RAD21",NA,NA,NA
"SMC5","SNTB1",NA,NA,NA
"OSTF1","ZHX2",NA,NA,NA
"GNAQ","FAM91A1",NA,NA,NA
"UBQLN1","TMEM65",NA,NA,NA
"TUT7","ASAP1",NA,NA,NA
"S1PR3","PHF20L1",NA,NA,NA
"SEMA4D","AGO2",NA,NA,NA
"FGD3","THEM6",NA,NA,NA
"PHF2","LY6E",NA,NA,NA
"MFSD14B","GSDMD",NA,NA,NA
"PTCH1","EEF1D",NA,NA,NA
"ANP32B","SHARPIN",NA,NA,NA
"ABCA1","HGH1",NA,NA,NA
"ECPAS","BOP1",NA,NA,NA
"PTBP3","FBXL6",NA,NA,NA
"SLC31A1","ADCK5",NA,NA,NA
"ALAD","VPS28",NA,NA,NA
"RGS3","ZNG1A",NA,NA,NA
"AKNA","JAK2",NA,NA,NA
"MEGF9","ERMP1",NA,NA,NA
"PHF19","RANBP6",NA,NA,NA
"SCAI","RRAGA",NA,NA,NA
"MAPKAP1","DENND4C",NA,NA,NA
"PBX3","APTX",NA,NA,NA
"ZBTB43","UBAP2",NA,NA,NA
"EEIG1","GALT",NA,NA,NA
"COQ4","STOML2",NA,NA,NA
"ODF2","CD72",NA,NA,NA
"SPTAN1","CREB3",NA,NA,NA
"SET","RNF38",NA,NA,NA
"ZDHHC12","SMC5",NA,NA,NA
"ZER1","OSTF1",NA,NA,NA
"TBC1D13","GCNT1",NA,NA,NA
"ASB6","GNAQ",NA,NA,NA
"TOR1A","TLE4",NA,NA,NA
"FNBP1","UBQLN1",NA,NA,NA
"TTF1","TUT7",NA,NA,NA
"GTF3C5","S1PR3",NA,NA,NA
"BRD3OS","SEMA4D",NA,NA,NA
"BRD3","IARS1",NA,NA,NA
"RXRA","FGD3",NA,NA,NA
"MRPS2","PHF2",NA,NA,NA
"TRAF2","MFSD14B",NA,NA,NA
"PAXX","PTCH1",NA,NA,NA
"ABCA2","SLC35D2",NA,NA,NA
"GTPBP4","ANP32B",NA,NA,NA
"IDI1","ABCA1",NA,NA,NA
"PFKP","ECPAS",NA,NA,NA
"PITRM1","PTBP3",NA,NA,NA
"AKR1C3","SLC31A1",NA,NA,NA
"FBH1","ALAD",NA,NA,NA
"PRKCQ","RGS3",NA,NA,NA
"ATP5F1C","AKNA",NA,NA,NA
"TAF3","PSMD5",NA,NA,NA
"CELF2","PHF19",NA,NA,NA
"USP6NL","SCAI",NA,NA,NA
"CDC123","MAPKAP1",NA,NA,NA
"VIM","PBX3",NA,NA,NA
"PLXDC2","ZBTB43",NA,NA,NA
"DNAJC1","EEIG1",NA,NA,NA
"APBB1IP","COQ4",NA,NA,NA
"SVIL","ODF2",NA,NA,NA
"ZNF438","SPTAN1",NA,NA,NA
"EPC1","SET",NA,NA,NA
"TMEM273","ZDHHC12",NA,NA,NA
"IPMK","ZER1",NA,NA,NA
"TFAM","TBC1D13",NA,NA,NA
"ARID5B","ASB6",NA,NA,NA
"JMJD1C","TOR1A",NA,NA,NA
"HNRNPH3","FNBP1",NA,NA,NA
"CCAR1","TTF1",NA,NA,NA
"DDX21","GTF3C5",NA,NA,NA
"TYSND1","RALGDS",NA,NA,NA
"PRF1","BRD3OS",NA,NA,NA
"CDH23","BRD3",NA,NA,NA
"ANAPC16","RXRA",NA,NA,NA
"DDIT4","MRPS2",NA,NA,NA
"ANXA7","TRAF2",NA,NA,NA
"SEC24C","PAXX",NA,NA,NA
"ADK","GTPBP4",NA,NA,NA
"ZMIZ1","IDI1",NA,NA,NA
"TSPAN14","PFKP",NA,NA,NA
"FRA10AC1","PITRM1",NA,NA,NA
"ALDH18A1","AKR1C3",NA,NA,NA
"ZNF518A","FBH1",NA,NA,NA
"BLNK","ATP5F1C",NA,NA,NA
"PIK3AP1","TAF3",NA,NA,NA
"CUTC","CELF2",NA,NA,NA
"NDUFB8","CDC123",NA,NA,NA
"HPS6","VIM",NA,NA,NA
"ARL3","DNAJC1",NA,NA,NA
"PDCD4","ARHGAP21",NA,NA,NA
"ACSL5","APBB1IP",NA,NA,NA
"TCF7L2","ABI1",NA,NA,NA
"CCDC186","SVIL",NA,NA,NA
"RAB11FIP2","ZNF438",NA,NA,NA
"EIF3A","EPC1",NA,NA,NA
"MCMBP","ZNF22",NA,NA,NA
"WDR11","ZFAND4",NA,NA,NA
"ZRANB1","TMEM273",NA,NA,NA
"UROS","IPMK",NA,NA,NA
"DHX32","ARID5B",NA,NA,NA
"PTPRE","JMJD1C",NA,NA,NA
"BNIP3","HNRNPH3",NA,NA,NA
"BET1L","CCAR1",NA,NA,NA
"RIC8A","DDX21",NA,NA,NA
"SIRT3","TYSND1",NA,NA,NA
"PSMD13","PRF1",NA,NA,NA
"IFITM1","CDH23",NA,NA,NA
"RNH1","ANAPC16",NA,NA,NA
"SLC25A22","ANXA7",NA,NA,NA
"PIDD1","SEC24C",NA,NA,NA
"CTSD","ADK",NA,NA,NA
"MRPL23","ZMIZ1",NA,NA,NA
"PGAP2","TSPAN14",NA,NA,NA
"STIM1","FRA10AC1",NA,NA,NA
"TRIM21","ALDH18A1",NA,NA,NA
"APBB1","ZNF518A",NA,NA,NA
"ARFIP2","PIK3AP1",NA,NA,NA
"RIC3","ARHGAP19",NA,NA,NA
"WEE1","CUTC",NA,NA,NA
"EIF4G2","NDUFB8",NA,NA,NA
"ZBED5","ARL3",NA,NA,NA
"MICAL2","PDCD4",NA,NA,NA
"LDHA","ACSL5",NA,NA,NA
"HTATIP2","ZDHHC6",NA,NA,NA
"SVIP","TCF7L2",NA,NA,NA
"EXT2","CCDC186",NA,NA,NA
"CRY2","RAB11FIP2",NA,NA,NA
"ARFGAP2","EIF3A",NA,NA,NA
"DDB2","MCMBP",NA,NA,NA
"PSMC3","WDR11",NA,NA,NA
"KBTBD4","BUB3",NA,NA,NA
"FNBP4","ZRANB1",NA,NA,NA
"ZFP91","DHX32",NA,NA,NA
"STX3","PTPRE",NA,NA,NA
"PRPF19","BNIP3",NA,NA,NA
"CD5","BET1L",NA,NA,NA
"TKFC","RIC8A",NA,NA,NA
"CYB561A3","SIRT3",NA,NA,NA
"TMEM258","PSMD13",NA,NA,NA
"INCENP","IFITM1",NA,NA,NA
"ASRGL1","RNH1",NA,NA,NA
"AHNAK","PIDD1",NA,NA,NA
"B3GAT3","RPLP2",NA,NA,NA
"SLC3A2","CTSD",NA,NA,NA
"NAA40","MRPL23",NA,NA,NA
"COX8A","PGAP2",NA,NA,NA
"OTUB1","RHOG",NA,NA,NA
"DNAJC4","TRIM21",NA,NA,NA
"CCDC88B","APBB1",NA,NA,NA
"RASGRP2","ARFIP2",NA,NA,NA
"MEN1","RIC3",NA,NA,NA
"PPP2R5B","ZNF143",NA,NA,NA
"VPS51","WEE1",NA,NA,NA
"FAU","EIF4G2",NA,NA,NA
"CAPN1","ZBED5",NA,NA,NA
"DPF2","MICAL2",NA,NA,NA
"SLC25A45","LDHA",NA,NA,NA
"SCYL1","ZDHHC13",NA,NA,NA
"FAM89B","HTATIP2",NA,NA,NA
"SIPA1","SVIP",NA,NA,NA
"RELA","FBXO3",NA,NA,NA
"KAT5","EXT2",NA,NA,NA
"CTSW","CRY2",NA,NA,NA
"SART1","ARFGAP2",NA,NA,NA
"YIF1A","DDB2",NA,NA,NA
"MRPL11","PSMC3",NA,NA,NA
"CTSF","KBTBD4",NA,NA,NA
"CCS","FNBP4",NA,NA,NA
"TBC1D10C","ZFP91",NA,NA,NA
"RPS6KB2","STX3",NA,NA,NA
"PITPNM1","PRPF19",NA,NA,NA
"TCIRG1","SLC15A3",NA,NA,NA
"C11orf24","CD5",NA,NA,NA
"NUMA1","CYB561A3",NA,NA,NA
"ANAPC15","TMEM258",NA,NA,NA
"FAM168A","FADS1",NA,NA,NA
"PLEKHB1","INCENP",NA,NA,NA
"UCP2","ASRGL1",NA,NA,NA
"ACER3","AHNAK",NA,NA,NA
"INTS4","B3GAT3",NA,NA,NA
"GAB2","NAA40",NA,NA,NA
"FAM76B","COX8A",NA,NA,NA
"RDX","OTUB1",NA,NA,NA
"SIK2","DNAJC4",NA,NA,NA
"PAFAH1B2","RASGRP2",NA,NA,NA
"CD3G","MEN1",NA,NA,NA
"ATP5MG","PPP2R5B",NA,NA,NA
"DDX6","VPS51",NA,NA,NA
"CBL","FAU",NA,NA,NA
"RNF26","DPF2",NA,NA,NA
"SORL1","SLC25A45",NA,NA,NA
"ZNF202","SCYL1",NA,NA,NA
"EI24","FAM89B",NA,NA,NA
"SRPRA","SIPA1",NA,NA,NA
"ETS1","RELA",NA,NA,NA
"ZBTB44","KAT5",NA,NA,NA
"VPS26B","CTSW",NA,NA,NA
"THYN1","YIF1A",NA,NA,NA
"WNK1","MRPL11",NA,NA,NA
"FBXL14","CTSF",NA,NA,NA
"ITFG2","CCS",NA,NA,NA
"TNFRSF1A","TBC1D10C",NA,NA,NA
"TAPBPL","RPS6KB2",NA,NA,NA
"VAMP1","PITPNM1",NA,NA,NA
"NCAPD2","TCIRG1",NA,NA,NA
"GAPDH","C11orf24",NA,NA,NA
"CHD4","NUMA1",NA,NA,NA
"LPAR5","ANAPC15",NA,NA,NA
"ING4","INPPL1",NA,NA,NA
"TPI1","FAM168A",NA,NA,NA
"C12orf57","PLEKHB1",NA,NA,NA
"PTPN6","UCP2",NA,NA,NA
"CLEC4E","C2CD3",NA,NA,NA
"RIMKLB","THAP12",NA,NA,NA
"PHC1","EMSY",NA,NA,NA
"M6PR","ACER3",NA,NA,NA
"CD69","INTS4",NA,NA,NA
"CLEC12A","GAB2",NA,NA,NA
"CLEC7A","FAM76B",NA,NA,NA
"ETV6","MAML2",NA,NA,NA
"STRAP","PDGFD",NA,NA,NA
"PLEKHA5","RDX",NA,NA,NA
"ITPR2","SIK2",NA,NA,NA
"KLHL42","PPP2R1B",NA,NA,NA
"FAR2","PAFAH1B2",NA,NA,NA
"LRRK2","CD3E",NA,NA,NA
"YAF2","ATP5MG",NA,NA,NA
"ZCRB1","DDX6",NA,NA,NA
"PUS7L","CBL",NA,NA,NA
"NELL2","RNF26",NA,NA,NA
"DDX23","SORL1",NA,NA,NA
"FKBP11","ZNF202",NA,NA,NA
"ARF3","TMEM218",NA,NA,NA
"LMBR1L","EI24",NA,NA,NA
"TUBA1B","SRPRA",NA,NA,NA
"TMT1A","ETS1",NA,NA,NA
"GALNT6","ZBTB44",NA,NA,NA
"ACVR1B","VPS26B",NA,NA,NA
"ITGB7","THYN1",NA,NA,NA
"MAP3K12","ACAD8",NA,NA,NA
"TARBP2","WNK1",NA,NA,NA
"HNRNPA1","FBXL14",NA,NA,NA
"TESPA1","ITFG2",NA,NA,NA
"ESYT1","TNFRSF1A",NA,NA,NA
"ANKRD52","TAPBPL",NA,NA,NA
"CS","VAMP1",NA,NA,NA
"TIMELESS","NCAPD2",NA,NA,NA
"RBMS2","GAPDH",NA,NA,NA
"ATP5F1B","CHD4",NA,NA,NA
"STAT6","LPAR5",NA,NA,NA
"R3HDM2","ING4",NA,NA,NA
"MARS1","TPI1",NA,NA,NA
"OS9","ATN1",NA,NA,NA
"CDK4","C12orf57",NA,NA,NA
"SLC16A7","PTPN6",NA,NA,NA
"TAFA2","CLEC4E",NA,NA,NA
"XPOT","RIMKLB",NA,NA,NA
"RASSF3","PHC1",NA,NA,NA
"TMBIM4","M6PR",NA,NA,NA
"MDM2","CD69",NA,NA,NA
"ZFC3H1","CLEC12A",NA,NA,NA
"ATXN7L3B","CLEC7A",NA,NA,NA
"NAP1L1","ETV6",NA,NA,NA
"PPP1R12A","STRAP",NA,NA,NA
"TMTC3","PLEKHA5",NA,NA,NA
"DUSP6","RECQL",NA,NA,NA
"EEA1","ITPR2",NA,NA,NA
"SOCS2","KLHL42",NA,NA,NA
"VEZT","YAF2",NA,NA,NA
"METAP2","ZCRB1",NA,NA,NA
"CDK17","NELL2",NA,NA,NA
"APAF1","FKBP11",NA,NA,NA
"TMEM263","ARF3",NA,NA,NA
"CRY1","LMBR1L",NA,NA,NA
"ABTB3","TUBA1B",NA,NA,NA
"SELPLG","TMT1A",NA,NA,NA
"ALKBH2","GALNT6",NA,NA,NA
"KCTD10","ACVR1B",NA,NA,NA
"PPTC7","ITGB7",NA,NA,NA
"ACAD10","MAP3K12",NA,NA,NA
"TRAFD1","TARBP2",NA,NA,NA
"SLC8B1","HNRNPA1",NA,NA,NA
"MED13L","TESPA1",NA,NA,NA
"TAOK3","ESYT1",NA,NA,NA
"PRKAB1","ANKRD52",NA,NA,NA
"GCN1","CS",NA,NA,NA
"PXN","TIMELESS",NA,NA,NA
"POP5","ATP5F1B",NA,NA,NA
"TMEM120B","STAT6",NA,NA,NA
"KNTC1","R3HDM2",NA,NA,NA
"HIP1R","MARS1",NA,NA,NA
"SBNO1","CDK4",NA,NA,NA
"EIF2B1","SLC16A7",NA,NA,NA
"UBC","TAFA2",NA,NA,NA
"DHX37","XPOT",NA,NA,NA
"BRI3BP","RASSF3",NA,NA,NA
"RAN","TMBIM4",NA,NA,NA
"ZNF84","ZFC3H1",NA,NA,NA
"MPHOSPH8","ATXN7L3B",NA,NA,NA
"LATS2","NAP1L1",NA,NA,NA
"ZDHHC20","PPP1R12A",NA,NA,NA
"PARP4","DUSP6",NA,NA,NA
"MTIF3","EEA1",NA,NA,NA
"B3GLCT","SOCS2",NA,NA,NA
"BRCA2","VEZT",NA,NA,NA
"PDS5B","METAP2",NA,NA,NA
"WBP4","CDK17",NA,NA,NA
"DGKH","APAF1",NA,NA,NA
"TPT1","TMEM263",NA,NA,NA
"COG3","MTERF2",NA,NA,NA
"RCBTB1","CRY1",NA,NA,NA
"KPNA3","SELPLG",NA,NA,NA
"TRIM13","SSH1",NA,NA,NA
"DHRS12","ALKBH2",NA,NA,NA
"PCDH9","KCTD10",NA,NA,NA
"LMO7","ATP2A2",NA,NA,NA
"KCTD12","PPTC7",NA,NA,NA
"MYCBP2","PPP1CC",NA,NA,NA
"ABCC4","ACAD10",NA,NA,NA
"DNAJC3","ERP29",NA,NA,NA
"UBAC2","TRAFD1",NA,NA,NA
"TNFSF13B","SLC8B1",NA,NA,NA
"ARHGEF7","MED13L",NA,NA,NA
"LAMP1","TAOK3",NA,NA,NA
"TFDP1","PRKAB1",NA,NA,NA
"RASA3","RAB35",NA,NA,NA
"OSGEP","GCN1",NA,NA,NA
"METTL17","PXN",NA,NA,NA
"METTL3","POP5",NA,NA,NA
"LRP10","TMEM120B",NA,NA,NA
"PRMT5","SETD1B",NA,NA,NA
"AP1G2","KNTC1",NA,NA,NA
"IRF9","HIP1R",NA,NA,NA
"NEDD8","EIF2B1",NA,NA,NA
"GMPR2","CCDC92",NA,NA,NA
"TINF2","NCOR2",NA,NA,NA
"DHRS1","UBC",NA,NA,NA
"RIPK3","DHX37",NA,NA,NA
"KHNYN","BRI3BP",NA,NA,NA
"GZMB","RAN",NA,NA,NA
"HEATR5A","FBRSL1",NA,NA,NA
"NUBPL","ZNF84",NA,NA,NA
"SPTSSA","MPHOSPH8",NA,NA,NA
"BAZ1A","LATS2",NA,NA,NA
"MIS18BP1","MICU2",NA,NA,NA
"KLHDC2","PARP4",NA,NA,NA
"NIN","B3GLCT",NA,NA,NA
"DDHD1","FRY",NA,NA,NA
"GMFB","PDS5B",NA,NA,NA
"CGRRF1","WBP4",NA,NA,NA
"TIMM9","DGKH",NA,NA,NA
"L3HYPDH","TPT1",NA,NA,NA
"JKAMP","COG3",NA,NA,NA
"PRKCH","RCBTB1",NA,NA,NA
"PPP2R5E","KPNA3",NA,NA,NA
"SYNE2","TRIM13",NA,NA,NA
"PIGH","DHRS12",NA,NA,NA
"RAD51B","PCDH9",NA,NA,NA
"ZFP36L1","LMO7",NA,NA,NA
"DCAF5","KCTD12",NA,NA,NA
"ERH","MYCBP2",NA,NA,NA
"SYNJ2BP","ABCC4",NA,NA,NA
"TTC9","DNAJC3",NA,NA,NA
"RBM25","TNFSF13B",NA,NA,NA
"ENTPD5","ARHGEF7",NA,NA,NA
"NPC2","LAMP1",NA,NA,NA
"FCF1","TFDP1",NA,NA,NA
"ANGEL1","RASA3",NA,NA,NA
"SPTLC2","OSGEP",NA,NA,NA
"CEP128","METTL17",NA,NA,NA
"GTF2A1","METTL3",NA,NA,NA
"ZC3H14","LRP10",NA,NA,NA
"FOXN3","PRMT5",NA,NA,NA
"RPS6KA5","AP1G2",NA,NA,NA
"CPSF2","IRF9",NA,NA,NA
"CCNK","NEDD8",NA,NA,NA
"YY1","GMPR2",NA,NA,NA
"WARS1","TINF2",NA,NA,NA
"DYNC1H1","DHRS1",NA,NA,NA
"HSP90AA1","RIPK3",NA,NA,NA
"TNFAIP2","KHNYN",NA,NA,NA
"PLD4","GZMB",NA,NA,NA
"CRIP1","HEATR5A",NA,NA,NA
"IGHM","NUBPL",NA,NA,NA
"ATP10A","SPTSSA",NA,NA,NA
"RMDN3","BAZ1A",NA,NA,NA
"RTF1","KLHDC2",NA,NA,NA
"RPAP1","NIN",NA,NA,NA
"GANC","DDHD1",NA,NA,NA
"TUBGCP4","GMFB",NA,NA,NA
"EIF3J-DT","CGRRF1",NA,NA,NA
"EIF3J","L3HYPDH",NA,NA,NA
"B2M","JKAMP",NA,NA,NA
"AFG2B","PRKCH",NA,NA,NA
"DUT","PPP2R5E",NA,NA,NA
"GABPB1","SYNE2",NA,NA,NA
"SPPL2A","PIGH",NA,NA,NA
"DMXL2","RAD51B",NA,NA,NA
"TMOD2","ZFP36L1",NA,NA,NA
"TMOD3","DCAF5",NA,NA,NA
"MYO5A","ERH",NA,NA,NA
"RAB27A","SYNJ2BP",NA,NA,NA
"CCPG1","TTC9",NA,NA,NA
"AQP9","RBM25",NA,NA,NA
"RORA","ENTPD5",NA,NA,NA
"VPS13C","NPC2",NA,NA,NA
"LACTB","FCF1",NA,NA,NA
"RPS27L","EIF2B2",NA,NA,NA
"CSNK1G1","ANGEL1",NA,NA,NA
"SNAPC5","SPTLC2",NA,NA,NA
"ANP32A","CEP128",NA,NA,NA
"PARP6","ZC3H14",NA,NA,NA
"CLK3","FOXN3",NA,NA,NA
"MPI","TDP1",NA,NA,NA
"FAM219B","RPS6KA5",NA,NA,NA
"NEIL1","CPSF2",NA,NA,NA
"MAN2C1","CCNK",NA,NA,NA
"PTPN9","YY1",NA,NA,NA
"IMP3","DYNC1H1",NA,NA,NA
"TSPAN3","HSP90AA1",NA,NA,NA
"HMG20A","TNFAIP2",NA,NA,NA
"IDH3A","PLD4",NA,NA,NA
"DNAJA4","CRIP1",NA,NA,NA
"PSMA4","IGHM",NA,NA,NA
"MESD","NIPA2",NA,NA,NA
"WHAMM","ATP10A",NA,NA,NA
"SEC11A","RMDN3",NA,NA,NA
"AEN","INO80",NA,NA,NA
"ISG20","RTF1",NA,NA,NA
"HAPLN3","RPAP1",NA,NA,NA
"IDH2","GANC",NA,NA,NA
"SEMA4B","TUBGCP4",NA,NA,NA
"NGRN","EIF3J-DT",NA,NA,NA
"IQGAP1","EIF3J",NA,NA,NA
"MAN2A2","B2M",NA,NA,NA
"CHD2","AFG2B",NA,NA,NA
"MEF2A","DUT",NA,NA,NA
"SELENOS","GABPB1",NA,NA,NA
"SNRPA1","DMXL2",NA,NA,NA
"SNRNP25","TMOD2",NA,NA,NA
"MPG","TMOD3",NA,NA,NA
"FAM234A","MYO5A",NA,NA,NA
"RHOT2","RAB27A",NA,NA,NA
"STUB1","CCPG1",NA,NA,NA
"ANTKMT","TCF12",NA,NA,NA
"CIAO3","RORA",NA,NA,NA
"CLCN7","VPS13C",NA,NA,NA
"TELO2","LACTB",NA,NA,NA
"MAPK8IP3","RPS27L",NA,NA,NA
"NUBP2","CSNK1G1",NA,NA,NA
"TBL3","PLEKHO2",NA,NA,NA
"TSC2","DIS3L",NA,NA,NA
"MLST8","SNAPC5",NA,NA,NA
"THOC6","ANP32A",NA,NA,NA
"NLRC3","TLE3",NA,NA,NA
"TRAP1","PARP6",NA,NA,NA
"MGRN1","CLK3",NA,NA,NA
"USP7","MPI",NA,NA,NA
"ATF7IP2","FAM219B",NA,NA,NA
"CLEC16A","NEIL1",NA,NA,NA
"TXNDC11","MAN2C1",NA,NA,NA
"MRTFB","PTPN9",NA,NA,NA
"PDXDC1","IMP3",NA,NA,NA
"CCP110","TSPAN3",NA,NA,NA
"THUMPD1","HMG20A",NA,NA,NA
"MOSMO","IDH3A",NA,NA,NA
"CDR2","DNAJA4",NA,NA,NA
"TNRC6A","WHAMM",NA,NA,NA
"APOBR","SEC11A",NA,NA,NA
"SPN","AEN",NA,NA,NA
"C16orf54","ISG20",NA,NA,NA
"KIF22","HAPLN3",NA,NA,NA
"PPP4C","IDH2",NA,NA,NA
"CD2BP2","SEMA4B",NA,NA,NA
"SEPTIN1","NGRN",NA,NA,NA
"PHKG2","IQGAP1",NA,NA,NA
"RNF40","SLCO3A1",NA,NA,NA
"FUS","CHD2",NA,NA,NA
"N4BP1","MEF2A",NA,NA,NA
"CNEP1R1","SELENOS",NA,NA,NA
"LPCAT2","SNRPA1",NA,NA,NA
"NLRC5","SNRNP25",NA,NA,NA
"POLR2C","MPG",NA,NA,NA
"ADGRG5","FAM234A",NA,NA,NA
"ADGRG1","RHOT2",NA,NA,NA
"KATNB1","STUB1",NA,NA,NA
"ZNF319","ANTKMT",NA,NA,NA
"USB1","CIAO3",NA,NA,NA
"CFAP20","CLCN7",NA,NA,NA
"CNOT1","TELO2",NA,NA,NA
"GOT2","NUBP2",NA,NA,NA
"DYNC1LI2","TBL3",NA,NA,NA
"TRADD","TSC2",NA,NA,NA
"E2F4","MLST8",NA,NA,NA
"FHOD1","THOC6",NA,NA,NA
"CTCF","NLRC3",NA,NA,NA
"CARMIL2","TRAP1",NA,NA,NA
"ACD","CREBBP",NA,NA,NA
"RANBP10","ADCY9",NA,NA,NA
"CENPT","MGRN1",NA,NA,NA
"THAP11","PMM2",NA,NA,NA
"EDC4","CARHSP1",NA,NA,NA
"PSMB10","USP7",NA,NA,NA
"DPEP2","ATF7IP2",NA,NA,NA
